C,Si,Mn,TMAE,AC1,AC3,MS,Qtemp,Ptemp,MicroStrucType
0.4,1.7,2,0,747.22,819.1137331,252,200,360,0
0.4,1.8,2,0,749.04,822.5137331,247,190,360,0
0.4,1.8,2,0,749.04,822.5137331,247,190,360,0
0.2,1.3,2.2,0,743.14,843.7005478,401,150,150,0
0.2,1.3,2.2,0,743.14,843.7005478,401,200,200,0
0.2,1.3,2.2,0,743.14,843.7005478,401,230,230,0
0.2,1.3,2.2,0,743.14,843.7005478,401,280,280,0
0.529,1.67,0.72,0,752.4368,818.555793,275,350,350,0
0.529,1.67,0.72,0,752.4368,818.555793,275,350,350,0
0.529,1.67,0.72,0,752.4368,818.555793,275,250,250,0
0.529,1.67,0.72,0,752.4368,818.555793,275,250,250,0
0.3,0.56,2,0,728.752,799.3762858,340,260,260,0
0.3,0.56,2,0,728.752,799.3762858,340,260,300,0
0.208,1.93,1.94,0,756.1916,867.5522468,401,190,350,0
0.208,1.93,1.94,0,756.1916,867.5522468,401,190,350,0
0.208,1.93,1.94,0,756.1916,867.5522468,401,190,350,0
0.75,0.22,1.03,0,718.9,732.8472969,347,140,550,0
0.41,1.52,2.01,0.23,743.648,811.0598609,302,230,400,0
0.41,1.52,2.01,0.23,743.648,811.0598609,302,230,400,0
0.204,1.5,2.5,0,744.6488,844.4015237,338,275,350,0
0.204,1.5,2.5,0,744.6488,844.4015237,338,275,400,0
0.204,1.5,2.5,0,744.6488,844.4015237,338,275,450,0
0.3,0.42,1.02,0,732.868,811.2762858,419,180,360,0
0.3,0.42,1.02,0,732.868,811.2762858,419,180,360,0
0.3,0.42,1.02,0,732.868,811.2762858,419,180,360,0
0.15,1.48,1.5,0,752.316,875.1715239,403,240,350,0
0.15,1.48,1.5,0,752.316,875.1715239,403,240,400,0
0.32,0.64,1.78,0,731.248,801.8036221,351,290,375,0
0.31,0.52,1.62,0,730.38,802.4436901,395,320,320,0
0.225,1.43,1.97,0,746.5,845.9402998,401,120,400,0
0.225,1.43,1.97,0,746.5,845.9402998,401,320,400,0
1,0.21,0.98,0,713.358,703.28,308,100,250,0
1,0.21,0.98,0,713.358,703.28,308,100,350,0
0.977,1.696,1.187,0,739.52,752.8817683,300,100,250,0
0.977,1.696,1.187,0,739.52,752.8817683,300,100,350,0
0.2,1.5,1.5,0.05,751.54,862.4005478,375,220,400,0
0.3,1.4,1.8,0,745.4,831.3362858,306,240,280,0
0.23,0.91,1.47,0,740.322,835.5835823,416,280,400,0
0.23,0.91,1.47,0,740.322,835.5835823,416,280,400,0
0.23,0.91,1.47,0,740.322,835.5835823,416,280,400,0
0.23,0.91,1.47,0,740.322,835.5835823,416,280,400,0
0.3,0.56,2,0,728.752,799.3762858,260,260,260,0
0.101,1.48,1.51,0.076,753.3652,890.6027839,430,350,350,0
0.101,1.48,1.51,0.076,753.3652,890.6027839,430,350,350,0
0.217,1.628,1.647,0,752.4824,860.073584,408,220,450,0
0.21,1.6,3.92,0,736.676,822.1811756,315,250,250,0
0.21,1.6,3.92,0,736.676,822.1811756,315,310,310,0
0.21,1.6,3.92,0,736.676,822.1811756,315,350,350,0
0.21,1.6,3.92,0,736.676,822.1811756,315,250,400,0
0.21,1.6,3.92,0,736.676,822.1811756,315,290,400,0
0.21,1.6,3.92,0,736.676,822.1811756,315,310,400,0
0.2,1.53,1.6,0,751.406,861.7205478,388,200,400,0
0.2,1.58,2.82,0,744.02,842.6805478,351,200,400,0
0.21,1.6,3.92,0,736.676,822.1811756,315,200,400,0
0.4,1.85,2.8,0,744.51,810.6137331,355,170,350,0
0.4,1.85,2.8,0,744.51,810.6137331,355,200,350,0
0.4,1.85,2.8,0,744.51,810.6137331,355,230,350,0
0.4,1.85,2.8,0,744.51,810.6137331,355,260,350,0
0.195,0.04,4.52,0,704.546,762.6834843,355,230,400,0
0.2,0.75,2.45,0,731.43,820.7505478,338,230,360,0
0.66,1.7,2.2,0,739.932,775.3153378,160,160,250,0
0.2,1.51,3.47,0,738.326,829.2505478,370,290,400,0
0.2,1.51,3.47,0,738.326,829.2505478,370,230,400,0
0.32,0.64,1.78,0,731.248,801.8036221,351,290,375,0
0.67,1.53,1.48,0.038,741.506,780.3988303,220,150,400,0
0.67,1.53,1.48,0.038,741.506,780.3988303,220,190,400,0
0.176,1.31,1.58,0,748.0852,860.7969654,382,240,420,0
0.176,1.31,1.58,0,748.0852,860.7969654,382,260,420,0
0.176,1.31,1.58,0,748.0852,860.7969654,382,280,420,0
0.19,1.38,1.68,0,748.36,857.8027187,413,280,280,0
0.176,1.31,1.58,0,748.0852,860.7969654,382,240,420,0
0.176,1.31,1.58,0,748.0852,860.7969654,382,240,420,0
0.977,1.696,1.187,0,739.52,752.8817683,300,100,250,0
0.977,1.696,1.187,0,739.52,752.8817683,300,100,350,0
0.3,1.4,1.8,0.1,745.4,831.3362858,394,320,320,0
0.3,1.4,1.8,0.1,745.4,831.3362858,394,320,320,0
0.3,1.4,1.8,0.1,745.4,831.3362858,394,320,320,0
0.3,1.4,1.8,0.1,745.4,831.3362858,394,360,360,0
0.3,1.4,1.8,0.1,745.4,831.3362858,394,400,400,0
0.4,1.7,2,0,747.22,819.1137331,252,200,360,0
0.6,1.96,0.95,0,754.532,813.8930478,361,190,500,0
0.6,1.96,0.95,0,754.532,813.8930478,361,190,400,0
0.2,0,5,0,700.44,751.9005478,344,140,450,0
0.2,1.76,5,0,732.472,811.7405478,333,140,450,0
0.5,1.5,2,0,741.3,795.5545276,227.5,180,400,0
0.18,1.5,2.6,0,744.516,848.8527166,393,280,425,0
0.18,1.5,2.6,0,744.516,848.8527166,393,300,425,0
0.18,1.5,2.6,0,744.516,848.8527166,393,320,425,0
0.18,1.5,2.6,0,744.516,848.8527166,393,330,425,0
0.18,1.5,2.6,0,744.516,848.8527166,393,340,425,0
0.175,2,2.59,0,753.798,867.354912,340,300,300,1
0.179,2.07,2.6,0.027,754.9128,868.4976609,340,300,300,1
0.18,2.07,2.6,0.061,754.89,868.2327166,340,300,300,1
0.2,1.4,1.65,0,748.7,856.4505478,365,345,345,1
0.2,1.4,1.65,0,748.7,856.4505478,365,345,345,1
0.2,1.4,1.87,0,747.204,852.7105478,365,300,420,1
0.225,1.43,1.97,0,746.5,845.9402998,401,65,400,1
0.2,1.5,1.9,0,748.82,855.6005478,225,152,350,1
0.24,1.53,2.01,0.019,747.706,845.1679105,397,200,410,1
0.24,1.53,2.01,0.019,747.706,845.1679105,397,200,410,1
0.19,1.6,1.6,0,752.908,866.6427187,407,280,280,1
0.19,1.6,1.6,0,752.908,866.6427187,407,340,340,1
0.19,1.6,1.6,0,752.908,866.6427187,407,380,380,1
0.217,1.628,1.647,0,752.4824,860.073584,408,250,460,1
0.217,1.628,1.647,0,752.4824,860.073584,408,220,350,1
0.21,1.67,1.65,0.2,753.386,863.1511756,388,540,390,1
